Symbol,Name,Market,Trades,Volume,Value,Open,Low,High,Avg.,Close,Ref. price,Var (%)
TEL,C.N.T.E.E. TRANSELECTRICA,REGS,118,11204,251798.4000,23.1000,22.1000,23.1000,22.5000,22.4000,22.8000,-1.75
CBC,CARBOCHIM S.A.,REGS,1,50,1650.0000,33.0000,33.0000,33.0000,33.0000,33.0000,34.0000,-2.94
BCM,CASA DE BUCOVINA-CLUB DE MUNTE,REGS,5,55879,4330.6225,0.0775,0.0775,0.0775,0.0775,0.0775,0.0770,0.65
CEON,CEMACON SA,REGS,85,536395,255446.3420,0.4470,0.4470,0.4890,0.4760,0.4860,0.4450,9.21
CCOM,CEREALCOM SA ALEXANDRIA,XRS1,1,6000,267.0000,0.0445,0.0445,0.0445,0.0445,0.0445,0.0445,0
CRC,CHIMCOMPLEX S.A. BORZESTI,REGS,6,252,5712.8000,22.9000,22.2000,22.9000,22.7000,22.9000,22.9000,0
CHRD,CHROMOSOME DYNAMICS,XRS1,10,621,17897.6000,28.6000,28.6000,29.2000,28.8000,29.2000,28.4000,2.82
MALI,COMALIM SA ARAD,XRS1,1,10,179.0000,17.9000,17.9000,17.9000,17.9000,17.9000,16.2000,10.49
CBKN,COMMERZBANK AG,XRSI,1,11,516.7800,46.9800,46.9800,46.9800,46.9800,46.9800,46.9000,0.17
CMP,COMPA S. A.,REGS,15,92500,37929.0000,0.4100,0.4100,0.4110,0.4100,0.4100,0.4260,-3.76
COET,COMPLEX COMET SA BUCURESTI,XRS1,1,2,12.8000,6.4000,6.4000,6.4000,6.4000,6.4000,6.2000,3.23
COTN,COMREP SA Ploiesti,XRS1,7,1612,8063.1000,5.4000,4.9800,5.4000,5.0000,5.0000,5.4500,-8.26
COMI,CONDMAG S.A.,REGS,2,500,3.2500,0.0065,0.0065,0.0065,0.0065,0.0065,0.0065,0
CC,CONNECTIONS CONSULT S.A.,XRS1,18,3329,12974.8200,3.8700,3.8500,4.1100,3.9000,4.0900,3.8300,6.79
COTE,CONPET SA,REGS,67,901,65524.4000,73.4000,72.2000,73.4000,72.8000,72.8000,72.2000,0.83
CONQ,CONTACTOARE SA BUZAU,XRS1,1,2131,5753.7000,2.7000,2.7000,2.7000,2.7000,2.7000,3.6400,-25.82
CTT,CONTINENTAL A.G.,XRSI,1,2,660.0000,330.0000,330.0000,330.0000,330.0000,330.0000,334.9000,-1.46
DAFR,DAFORA SA,REGS,44,1870833,27987.0950,0.0148,0.0148,0.0150,0.0150,0.0148,0.0148,0
DBK,DEUTSCHE BANK AG,XRSI,7,1584,91633.2100,58.8000,57.5000,58.8000,57.8500,57.6900,58.3000,-1.05
LHA,DEUTSCHE LUFTHANSA A.G.,XRSI,10,1255,54113.2400,43.0000,42.5100,43.3350,43.1200,43.3350,42.7300,1.42
DPW,DEUTSCHE POST A.G.,XRSI,1,3,560.5800,186.8600,186.8600,186.8600,186.8600,186.8600,178.2400,4.84
DIGI,Digi Communications N.V.,REGS,92,14459,491732.2000,34.6000,33.7000,34.6000,34.0000,33.8000,34.2000,-1.17
DN,DN Agrar Group,XRS1,12,18938,14291.0300,0.7600,0.7500,0.7600,0.7550,0.7550,0.7510,0.53
DENT,Dr. Fischer Dental,XRS1,2,300,504.0000,1.6800,1.6800,1.6800,1.6800,1.6800,1.6600,1.2
ELGS,ELECTROARGES SA,REGS,3,40,15.6800,0.3720,0.3720,0.4100,0.3920,0.3760,0.4220,-10.9
ELMA,ELECTROMAGNETICA SA,REGS,4,98878,15188.2120,0.1530,0.1530,0.1550,0.1540,0.1550,0.1510,2.65
ELZY,ELECTROPRECIZIA SA Sacele,XRS1,4,146,1941.8000,13.3000,13.3000,13.3000,13.3000,13.3000,13.0000,2.31
ELV,ELVILA S.A. BUCURESTI,XRS1,1,500,350.0000,0.7000,0.7000,0.7000,0.7000,0.7000,0.7000,0
EBS,Erste Group Bank AG,REGS,20,347,55542.8000,161.1000,158.8000,161.5500,160.0500,160.0000,163.3000,-2.02
EVER,EVERGENT INVESTMENTS S.A.,REGS,30,34576,45656.2500,1.3300,1.3150,1.3400,1.3200,1.3400,1.3300,0.75
RMAH,FARMACEUTICA REMEDIA SA,REGS,8,2562,1632.5360,0.6400,0.6180,0.6400,0.6380,0.6380,0.6400,-0.31
FEP,FEPER,XRS1,3,11500,862.5000,0.0750,0.0750,0.0750,0.0750,0.0750,0.0880,-14.77
FRB,FIREBYTE GAMES,XRS1,5,14575,6043.6930,0.4210,0.4120,0.4210,0.4150,0.4120,0.4220,-2.37
FP,FONDUL PROPRIETATEA,REGS,491,1063108,2162687.7350,2.0600,2.0200,2.0600,2.0350,2.0350,2.0600,-1.21
FOJE,FORAJ SONDE SA VIDELE,XRS1,2,160,992.0000,6.2000,6.2000,6.2000,6.2000,6.2000,5.7000,8.77
SEOM,GERMINA AGRIBUSINESS SA BUCURESTI,XRS1,1,100,111.0000,1.1100,1.1100,1.1100,1.1100,1.1100,1.1800,-5.93
CAB,GOCAB SOFTWARE S.A.,XRS1,4,14000,679.0000,0.0485,0.0485,0.0485,0.0485,0.0485,0.0485,0
RANT,GRANITUL SA BUCURESTI,XRS1,1,100,400.0000,4.0000,4.0000,4.0000,4.0000,4.0000,4.5000,-11.11
GSH,Grup Serban Holding,XRS1,7,3710,6556.3500,1.7800,1.7350,1.7800,1.7650,1.7700,1.7800,-0.56
HAI,Holde Agri Invest S.A. - Clasa A,XRS1,17,5676,8564.0350,1.5050,1.5050,1.5250,1.5100,1.5200,1.5150,0.33
IARV,IAR SA Brasov,REGS,2,260,2491.6000,9.5600,9.5600,9.6200,9.5800,9.6200,9.5000,1.26
HUNT,IHUNT TECHNOLOGY IMPORT-EXPORT S.A.,XRS1,48,127886,58960.4435,0.4560,0.4560,0.4750,0.4610,0.4740,0.4560,3.95
IMP,IMPACT DEVELOPER & CONTRACTOR S.A.,REGS,20,250429,93745.0350,0.3870,0.3700,0.3870,0.3740,0.3820,0.3870,-1.29
IPRU,IPROEB SA Bistrita,XRS1,1,2500,1130.0000,0.4520,0.4520,0.4520,0.4520,0.4520,0.4680,-3.42
LIH,LIFE IS HARD S.A.,XRS1,107,30196,86043.3300,2.6100,2.6100,2.9700,2.8500,2.9000,2.5900,11.97
MACO,MACOFIL SA TG. JIU,XRS1,7,717,10064.4000,14.1000,14.0000,14.1000,14.0500,14.0000,14.0000,0
MAM,MAMBRICOLAJ S.A.,XRS1,13,784,2562.3500,3.3800,3.2100,3.3900,3.2700,3.3700,3.3800,-0.3
MEOY,MECANICA CODLEA SA,XRS1,1,30000,2490.0000,0.0830,0.0830,0.0830,0.0830,0.0830,0.0850,-2.35
MECE,MECANICA FINA SA,REGS,1,10,310.0000,31.0000,31.0000,31.0000,31.0000,31.0000,31.4000,-1.27
M,MedLife S.A.,REGS,93,9171,173105.3800,19.1000,18.7000,19.1000,18.8800,18.8000,19.1000,-1.57
DAI,Mercedes Benz Group AG,XRSI,3,32,10614.5000,330.0500,330.0500,334.1500,331.7000,334.1500,340.0000,-1.72
MET,META ESTATE TRUST,XRS1,1,3662,3281.1520,0.8960,0.8960,0.8960,0.8960,0.8960,0.8960,0
NEOL,NEPTUN OLIMP SA NEPTUN,XRS1,2,97,23.2360,0.1960,0.1960,0.2400,0.2400,0.2400,0.2800,-14.29
NRF,NOROFERT S.A.,XRS1,60,10963,76561.5400,6.9200,6.9200,7.1000,6.9800,7.0000,6.9500,0.72
OIL,OIL TERMINAL S.A.,REGS,43,138008,22775.8875,0.1700,0.1620,0.1730,0.1650,0.1675,0.1675,0
SNP,OMV PETROM S.A.,REGS,843,13785115,6192203.6480,0.4550,0.4445,0.4565,0.4490,0.4450,0.4550,-2.2
ONE,ONE UNITED PROPERTIES,REGS,66,81558,70380.8310,0.8650,0.8610,0.8680,0.8630,0.8680,0.8620,0.7
PBK,PATRIA BANK S.A.,REGS,5,65450,5388.5710,0.0834,0.0820,0.0844,0.0824,0.0842,0.0844,-0.24
